,34944_高鐵_促參.pdf,38005_核四_政策.pdf,39243_核四_品質.pdf,39477_核四_料件.pdf,46365_高鐵_基金.pdf,48052_大客車_逃生門.pdf,48746_大客車_安全門.pdf,49490_核四_延宕.pdf,49627_核四_停建.pdf,49676_大客車_駕照.pdf,52922_大客車_超時.pdf,54210_高鐵_出資.pdf,54376_高鐵_航發.pdf,54561_高鐵_機電.pdf,58930_核四_封存.pdf
34944_高鐵_促參.pdf,1.0000002,0.4173181,0.30782807,0.29810965,0.9040929,0.4206097,0.3918248,0.3552314,0.314579,0.4700079,0.40019405,0.84187037,0.91716444,0.9205957,0.30234537
38005_核四_政策.pdf,0.4173181,1.0,0.9309234,0.9347757,0.37823635,0.33303827,0.3406924,0.9348844,0.93514025,0.32340437,0.31915376,0.62576044,0.42926186,0.38795307,0.9472583
39243_核四_品質.pdf,0.30782807,0.9309234,1.0000001,0.970819,0.26603937,0.2973366,0.29669654,0.9638503,0.9649637,0.26598728,0.27980608,0.51579285,0.3109872,0.29160857,0.95936894
39477_核四_料件.pdf,0.29810965,0.9347757,0.970819,0.9999999,0.25054997,0.2551733,0.26197422,0.97375226,0.99039435,0.23642413,0.2456178,0.51184076,0.31280786,0.28015435,0.9808979
46365_高鐵_基金.pdf,0.9040929,0.37823635,0.26603937,0.25054997,1.0,0.2767371,0.24011818,0.30412814,0.26570275,0.30253828,0.2473616,0.7569032,0.9400672,0.9270044,0.26829052
48052_大客車_逃生門.pdf,0.4206097,0.33303827,0.2973366,0.2551733,0.2767371,0.9999998,0.9570675,0.2991966,0.26330727,0.9462541,0.9591445,0.49966776,0.28680724,0.31127402,0.25403035
48746_大客車_安全門.pdf,0.3918248,0.3406924,0.29669654,0.26197422,0.24011818,0.9570675,1.0,0.31036425,0.27242106,0.9567168,0.97304416,0.5117019,0.26252198,0.26989633,0.25987247
49490_核四_延宕.pdf,0.3552314,0.9348844,0.9638503,0.97375226,0.30412814,0.2991966,0.31036425,1.0000001,0.9832926,0.28871447,0.29269737,0.57674575,0.36307073,0.32287374,0.9592545
49627_核四_停建.pdf,0.314579,0.93514025,0.9649637,0.99039435,0.26570275,0.26330727,0.27242106,0.9832926,1.0,0.24892674,0.25563186,0.5250149,0.33053258,0.29337856,0.9812571
49676_大客車_駕照.pdf,0.4700079,0.32340437,0.26598728,0.23642413,0.30253828,0.9462541,0.9567168,0.28871447,0.24892674,0.9999999,0.96346986,0.5487958,0.33395544,0.33115608,0.2331752
52922_大客車_超時.pdf,0.40019405,0.31915376,0.27980608,0.2456178,0.2473616,0.9591445,0.97304416,0.29269737,0.25563186,0.96346986,0.9999994,0.5006503,0.26339614,0.27908447,0.24216025
54210_高鐵_出資.pdf,0.84187037,0.62576044,0.51579285,0.51184076,0.7569032,0.49966776,0.5117019,0.57674575,0.5250149,0.5487958,0.5006503,1.0,0.82249576,0.76579213,0.5061394
54376_高鐵_航發.pdf,0.91716444,0.42926186,0.3109872,0.31280786,0.9400672,0.28680724,0.26252198,0.36307073,0.33053258,0.33395544,0.26339614,0.82249576,1.0,0.9136975,0.3265014
54561_高鐵_機電.pdf,0.9205957,0.38795307,0.29160857,0.28015435,0.9270044,0.31127402,0.26989633,0.32287374,0.29337856,0.33115608,0.27908447,0.76579213,0.9136975,0.99999964,0.29012078
58930_核四_封存.pdf,0.30234537,0.9472583,0.95936894,0.9808979,0.26829052,0.25403035,0.25987247,0.9592545,0.9812571,0.2331752,0.24216025,0.5061394,0.3265014,0.29012078,1.0000002
